	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Acoma-100_mountain-1	Acoma	100_mountain	kʲ ú/u t i	acom1246	kjq	639	MOUNTAIN	100_mountain-40	
1	Acoma-102_green-1	Acoma	102_green	kʲ ủ/u i s k a	acom1246	kjq	1425	GREEN	102_green-40	
2	Acoma-103_yellow-1	Acoma	103_yellow	kʲ ú/u tʃ í/i n̉/n i	acom1246	kjq	1424	YELLOW	103_yellow-40	
3	Acoma-104_white-1	Acoma	104_white	k a ʃ é/e + n á/a	acom1246	kjq	1335	WHITE	104_white-40	
4	Acoma-106_night-1	Acoma	106_night	n û/u w é/e	acom1246	kjq	1233	NIGHT	106_night-40	
5	Acoma-107_name-1	Acoma	107_name	ʔ é/e + g á/a	acom1246	kjq	1405	NAME	107_name-40	
6	Acoma-10_new-1	Acoma	10_new	n ả/a + c e	acom1246	kjq	1231	NEW	10_new-40	
7	Acoma-110_three-1	Acoma	110_three	tʃ á/a m̉/m i	acom1246	kjq	492	THREE	110_three-40	
8	Acoma-111_four-1	Acoma	111_four	d y â/a + n a	acom1246	kjq	1500	FOUR	111_four-40	
9	Acoma-112_five-1	Acoma	112_five	t â/a + m̉/m a	acom1246	kjq	493	FIVE	112_five-40	
10	Acoma-113_six-1	Acoma	113_six	š̉/ʂ í/i s a	acom1246	kjq	1703	SIX	113_six-40	
11	Acoma-11_good-1	Acoma	11_good	d á/a w á/a	acom1246	kjq	1035	GOOD	11_good-40	
12	Acoma-12_round-1	Acoma	12_round	s kʲ í/i d ú/u c i	acom1246	kjq	1395	ROUND	12_round-40	
13	Acoma-15_sharpblade-1	Acoma	15_sharpblade	s t̉/tʲ u w̉/w í/i c i	acom1246	kjq	1396	SHARP	15_sharpblade-40	
14	Acoma-17_full-1	Acoma	17_full	g í/i + t̉/tʲ a	acom1246	kjq	1429	FULL	17_full-40	
15	Acoma-19_hot-1	Acoma	19_hot	ʔ iː d ī̉/iː	acom1246	kjq	1286	HOT	19_hot-40	
16	Acoma-1_nonot-1	Acoma	1_nonot	z á/a	acom1246	kjq	2279	NO OR NOT	1_nonot-40	
17	Acoma-20_woman-1	Acoma	20_woman	kʲ ú/u	acom1246	kjq	962	WOMAN	20_woman-40	
18	Acoma-21_man-1	Acoma	21_man	h á/a c̣/ʈʂ iː c ai	acom1246	kjq	1554	MAN	21_man-40	
19	Acoma-23_fish-1	Acoma	23_fish	s kʲ ả/a + ʃ u	acom1246	kjq	227	FISH	23_fish-40	
20	Acoma-24_bird-1	Acoma	24_bird	b í/i + s b í/i + n á/a	acom1246	kjq	937	BIRD	24_bird-40	
21	Acoma-25_dog-1	Acoma	25_dog	d í/i ỷ/j a	acom1246	kjq	2009	DOG	25_dog-40	
22	Acoma-26_louse-1	Acoma	26_louse	ʃ í/i n a	acom1246	kjq	1392	LOUSE	26_louse-40	
23	Acoma-27_snake-1	Acoma	27_snake	ṣ/ʂ û/u + w i	acom1246	kjq	730	SNAKE	27_snake-40	
24	Acoma-29_bark-1	Acoma	29_bark	ʔ í/i + č̉/k á/a n á/a n í/i	acom1246	kjq	1204	BARK	29_bark-40	
25	Acoma-30_leaf-1	Acoma	30_leaf	m a s â/a + n i	acom1246	kjq	628	LEAF	30_leaf-40	
26	Acoma-31_root-1	Acoma	31_root	w á/a + w ái/ai c̣/ʈʂ iː n i	acom1246	kjq	670	ROOT	31_root-40	
27	Acoma-32_seed-1	Acoma	32_seed	g á/a w̉/w i c i	acom1246	kjq	714	SEED	32_seed-40	
28	Acoma-32_seed-2	Acoma	32_seed	h ỉ/i + c̣/ʈʂ iː n i	acom1246	kjq	714	SEED	32_seed-41	
29	Acoma-33_blood-1	Acoma	33_blood	m̉/m á/a + c̉/ts i	acom1246	kjq	946	BLOOD	33_blood-40	
30	Acoma-34_meat-1	Acoma	34_meat	ʔ i ʃ â/a + n i	acom1246	kjq	634	MEAT	34_meat-40	
31	Acoma-36_bone-1	Acoma	36_bone	h â/a + s k a n i	acom1246	kjq	1394	BONE	36_bone-40	
