	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
1	Anuta-101_tofly-1	Anuta	101_tofly	r e r e	anut1237	aud	1441	FLY (MOVE THROUGH AIR)	205	
4	Anuta-103_meatflesh-1	Anuta	103_meatflesh	k a n o + f i	anut1237	aud	2615	FLESH OR MEAT	344	
5	Anuta-104_fatgrease-1	Anuta	104_fatgrease	m o + m o n a	anut1237	aud	323	FAT (ORGANIC SUBSTANCE)	26	
6	Anuta-105_tail-1	Anuta	105_tail	t i k u	anut1237	aud	1220	TAIL	309	
7	Anuta-108_louse-1	Anuta	108_louse	k u t u	anut1237	aud	1392	LOUSE	46	
11	Anuta-111_fish-1	Anuta	111_fish	i k a	anut1237	aud	227	FISH	30	
16	Anuta-114_leaf-1	Anuta	114_leaf	r a u	anut1237	aud	628	LEAF	42	
17	Anuta-115_root-1	Anuta	115_root	t a p i t o	anut1237	aud	670	ROOT	1287	
21	Anuta-119_earthsoil-1	Anuta	119_earthsoil	k e r e + k e r e	anut1237	aud	1228	EARTH (SOIL)	121	
23	Anuta-120_stone-1	Anuta	120_stone	p a t u	anut1237	aud	857	STONE	70	
24	Anuta-121_sand-1	Anuta	121_sand	k e r e	anut1237	aud	671	SAND	684	
25	Anuta-122_water-1	Anuta	122_water	v a i	anut1237	aud	948	WATER	536	
31	Anuta-129_moon-1	Anuta	129_moon	m aː + i n a	anut1237	aud	1313	MOON	761	
32	Anuta-12_skin-1	Anuta	12_skin	k i r i	anut1237	aud	763	SKIN	65	
33	Anuta-130_star-1	Anuta	130_star	p e t uː	anut1237	aud	1430	STAR	68	
34	Anuta-131_cloud-1	Anuta	131_cloud	a o	anut1237	aud	1489	CLOUD	239	
42	Anuta-139_cold-1	Anuta	139_cold	m a k a + r i r i	anut1237	aud	1287	COLD	17	
44	Anuta-140_dry-1	Anuta	140_dry	p a k u + p a k u	anut1237	aud	1398	DRY	772	
47	Anuta-143_fire-1	Anuta	143_fire	a p i	anut1237	aud	221	FIRE	29	
48	Anuta-144_toburn-1	Anuta	144_toburn	t u t u	anut1237	aud	2102	BURN	1099	
49	Anuta-144_toburn-2	Anuta	144_toburn	t u ŋ i a	anut1237	aud	2102	BURN	1227	
50	Anuta-144_toburn-3	Anuta	144_toburn	t a p u	anut1237	aud	2102	BURN	1326	
51	Anuta-145_smoke-1	Anuta	145_smoke	a u + t i + a p i	anut1237	aud	778	SMOKE (EXHAUST)	527	
52	Anuta-146_ashes-1	Anuta	146_ashes	r e p u	anut1237	aud	646	ASH	1183	
53	Anuta-147_black-1	Anuta	147_black	u r i	anut1237	aud	163	BLACK	1209	
54	Anuta-148_white-1	Anuta	148_white	t e a	anut1237	aud	1335	WHITE	1342	
55	Anuta-148_white-2	Anuta	148_white	k e n a	anut1237	aud	1335	WHITE	160	
56	Anuta-149_red-1	Anuta	149_red	m e r o	anut1237	aud	156	RED	60	
57	Anuta-149_red-2	Anuta	149_red	o a t a	anut1237	aud	156	RED	376	
58	Anuta-14_belly-1	Anuta	14_belly	m a n a v a	anut1237	aud	1251	BELLY	1385	
59	Anuta-150_yellow-1	Anuta	150_yellow	t e t e ŋ a	anut1237	aud	1424	YELLOW	291	
60	Anuta-151_green-1	Anuta	151_green	k e p u	anut1237	aud	1425	GREEN	1391	
61	Anuta-151_green-2	Anuta	151_green	m a t a	anut1237	aud	1425	GREEN	193	
62	Anuta-152_small-1	Anuta	152_small	r i k i	anut1237	aud	1246	SMALL	1171	
63	Anuta-153_big-1	Anuta	153_big	r a i	anut1237	aud	1202	BIG	238	
65	Anuta-155_long-1	Anuta	155_long	r o a	anut1237	aud	1203	LONG	245	
68	Anuta-15_bone-1	Anuta	15_bone	i v i	anut1237	aud	1394	BONE	987	
69	Anuta-15_bone-2	Anuta	15_bone	u i	anut1237	aud	1394	BONE	987	
73	Anuta-163_new-1	Anuta	163_new	p o u	anut1237	aud	1231	NEW	53	
74	Anuta-164_good-1	Anuta	164_good	r e + r e i	anut1237	aud	1035	GOOD	425	
77	Anuta-167_night-1	Anuta	167_night	p o + u r i	anut1237	aud	1233	NIGHT	128	
78	Anuta-167_night-2	Anuta	167_night	p oː	anut1237	aud	1233	NIGHT	54	
89	Anuta-177_this-1	Anuta	177_this	i e + n i	anut1237	aud	1214	THIS	75	
90	Anuta-178_that-1	Anuta	178_that	e + n a	anut1237	aud	78	THAT	71	
92	Anuta-17_liver-1	Anuta	17_liver	a t e	anut1237	aud	1224	LIVER	45	
95	Anuta-182_i-1	Anuta	182_i	k + a u	anut1237	aud	1209	I	4	
96	Anuta-183_thou-1	Anuta	183_thou	k o e	anut1237	aud	1215	THOU	76	
97	Anuta-183_thou-2	Anuta	183_thou	k e	anut1237	aud	1215	THOU	961	
99	Anuta-185_we-1	Anuta	185_we	t o u	anut1237	aud	1212	WE	785	
104	Anuta-188_what-1	Anuta	188_what	aː	anut1237	aud	1236	WHAT	104	
105	Anuta-189_who-1	Anuta	189_who	a i	anut1237	aud	1235	WHO	106	
106	Anuta-18_breast-1	Anuta	18_breast	uː	anut1237	aud	1402	BREAST	16	
107	Anuta-191_all-1	Anuta	191_all	k a + t o a	anut1237	aud	98	ALL	293	
114	Anuta-197_one-1	Anuta	197_one	t a s i	anut1237	aud	1493	ONE	335	
115	Anuta-198_two-1	Anuta	198_two	r u a	anut1237	aud	1498	TWO	9	
117	Anuta-1_hand-1	Anuta	1_hand	n i m a	anut1237	aud	1277	HAND	1294	
118	Anuta-1_hand-2	Anuta	1_hand	r i m a	anut1237	aud	1277	HAND	36	
127	Anuta-20_toknowbeknowledgeable-1	Anuta	20_toknowbeknowledgeable	p o t o	anut1237	aud	1410	KNOW (SOMETHING)	380	
128	Anuta-20_toknowbeknowledgeable-2	Anuta	20_toknowbeknowledgeable	i r o a	anut1237	aud	1410	KNOW (SOMETHING)	315	
133	Anuta-23_blood-1	Anuta	23_blood	t o t o	anut1237	aud	946	BLOOD	807	
134	Anuta-24_head-1	Anuta	24_head	u r u	anut1237	aud	1256	HEAD	38	
135	Anuta-25_neck-1	Anuta	25_neck	u a	anut1237	aud	1333	NECK	458	
136	Anuta-26_hair-1	Anuta	26_hair	p u r u	anut1237	aud	1040	HAIR	695	
137	Anuta-27_nose-1	Anuta	27_nose	i u	anut1237	aud	1221	NOSE	55	
141	Anuta-30_mouth-1	Anuta	30_mouth	ŋ u t u	anut1237	aud	674	MOUTH	524	
142	Anuta-31_tooth-1	Anuta	31_tooth	n i p o	anut1237	aud	1380	TOOTH	101	
143	Anuta-32_tongue-1	Anuta	32_tongue	a r e r o	anut1237	aud	1205	TONGUE	386	
148	Anuta-37_toeat-1	Anuta	37_toeat	k a i	anut1237	aud	1336	EAT	87	
152	Anuta-40_todrink-1	Anuta	40_todrink	i n u	anut1237	aud	1401	DRINK	86	
153	Anuta-41_tobite-1	Anuta	41_tobite	k a t i	anut1237	aud	1403	BITE	77	
155	Anuta-43_ear-1	Anuta	43_ear	t a r i ŋ a	anut1237	aud	1247	EAR	22	
156	Anuta-44_tohear-1	Anuta	44_tohear	r o ŋ o	anut1237	aud	1408	HEAR	90	
157	Anuta-45_eye-1	Anuta	45_eye	m a t a	anut1237	aud	1248	EYE	24	
158	Anuta-46_tosee-1	Anuta	46_tosee	m a + m a t a	anut1237	aud	1409	SEE	1336	
159	Anuta-48_tosleep-1	Anuta	48_tosleep	m o e	anut1237	aud	1585	SLEEP	150	
163	Anuta-51_tosit-1	Anuta	51_tosit	n o p o	anut1237	aud	1416	SIT	404	
164	Anuta-52_tostand-1	Anuta	52_tostand	t uː	anut1237	aud	1442	STAND	533	
165	Anuta-53_personhumanbeing-1	Anuta	53_personhumanbeing	t a ŋ a t a	anut1237	aud	683	PERSON	58	
174	Anuta-5_towalk-1	Anuta	5_towalk	a e r e	anut1237	aud	1443	WALK	1109	
178	Anuta-63_name-1	Anuta	63_name	i ŋ o a	anut1237	aud	1405	NAME	1096	
179	Anuta-64_tosay-1	Anuta	64_tosay	k a r a ŋ a	anut1237	aud	1458	SAY	283	
191	Anuta-74_tokill-1	Anuta	74_tokill	t a + m a t e	anut1237	aud	1417	KILL	530	
198	Anuta-7_tocome-1	Anuta	7_tocome	a u	anut1237	aud	1446	COME	881	
217	Anuta-96_dog-1	Anuta	96_dog	k o r iː	anut1237	aud	2009	DOG	1213	
218	Anuta-97_bird-1	Anuta	97_bird	m a n u	anut1237	aud	937	BIRD	14	
219	Anuta-98_egg-1	Anuta	98_egg	p u a i	anut1237	aud	744	EGG	950	
220	Anuta-99_feather-1	Anuta	99_feather	p u r u	anut1237	aud	1201	FEATHER	28	
221	Anuta-9_toswim-1	Anuta	9_toswim	k a u	anut1237	aud	1439	SWIM	969	
223	EastFutuna-101_tofly-1	EastFutuna	101_tofly	l e l e	east2447	fud	1441	FLY (MOVE THROUGH AIR)	205	
225	EastFutuna-103_meatflesh-1	EastFutuna	103_meatflesh	k a n o + f i	east2447	fud	2615	FLESH OR MEAT	344	
226	EastFutuna-104_fatgrease-1	EastFutuna	104_fatgrease	g a k o	east2447	fud	323	FAT (ORGANIC SUBSTANCE)	339	
227	EastFutuna-105_tail-1	EastFutuna	105_tail	s i k u	east2447	fud	1220	TAIL	309	
230	EastFutuna-108_louse-1	EastFutuna	108_louse	t u m a	east2447	fud	1392	LOUSE	669	
231	EastFutuna-108_louse-2	EastFutuna	108_louse	k u t u	east2447	fud	1392	LOUSE	46	
235	EastFutuna-111_fish-1	EastFutuna	111_fish	i k a	east2447	fud	227	FISH	30	
240	EastFutuna-114_leaf-1	EastFutuna	114_leaf	l a u	east2447	fud	628	LEAF	42	
241	EastFutuna-115_root-1	EastFutuna	115_root	a k a	east2447	fud	670	ROOT	525	
246	EastFutuna-119_earthsoil-1	EastFutuna	119_earthsoil	k e l e	east2447	fud	1228	EARTH (SOIL)	121	
248	EastFutuna-120_stone-1	EastFutuna	120_stone	m a k a	east2447	fud	857	STONE	811	
249	EastFutuna-120_stone-2	EastFutuna	120_stone	f a t u	east2447	fud	857	STONE	70	
250	EastFutuna-121_sand-1	EastFutuna	121_sand	ʔ o n e	east2447	fud	671	SAND	62	
251	EastFutuna-122_water-1	EastFutuna	122_water	v a i	east2447	fud	948	WATER	536	
261	EastFutuna-129_moon-1	EastFutuna	129_moon	m aː + s i n a	east2447	fud	1313	MOON	761	
262	EastFutuna-12_skin-1	EastFutuna	12_skin	k i l i	east2447	fud	763	SKIN	65	
263	EastFutuna-130_star-1	EastFutuna	130_star	f e t u ʔ u	east2447	fud	1430	STAR	68	
264	EastFutuna-131_cloud-1	EastFutuna	131_cloud	ʔ a o	east2447	fud	1489	CLOUD	239	
274	EastFutuna-139_cold-1	EastFutuna	139_cold	m o + m o k o	east2447	fud	1287	COLD	117	
275	EastFutuna-139_cold-2	EastFutuna	139_cold	m a k a + l i l i	east2447	fud	1287	COLD	17	
277	EastFutuna-140_dry-1	EastFutuna	140_dry	m a l oː	east2447	fud	1398	DRY	296	
278	EastFutuna-140_dry-2	EastFutuna	140_dry	m a s a	east2447	fud	1398	DRY	190	
284	EastFutuna-143_fire-1	EastFutuna	143_fire	a f i	east2447	fud	221	FIRE	29	
285	EastFutuna-144_toburn-1	EastFutuna	144_toburn	s u + s u n u	east2447	fud	2102	BURN	1099	
286	EastFutuna-145_smoke-1	EastFutuna	145_smoke	aː u + s i a	east2447	fud	778	SMOKE (EXHAUST)	527	
287	EastFutuna-146_ashes-1	EastFutuna	146_ashes	l a f u	east2447	fud	646	ASH	1183	
288	EastFutuna-146_ashes-2	EastFutuna	146_ashes	m u + ŋ aː + l a f u	east2447	fud	646	ASH	10	
289	EastFutuna-147_black-1	EastFutuna	147_black	ʔ u l i	east2447	fud	163	BLACK	1209	
290	EastFutuna-148_white-1	EastFutuna	148_white	t e a	east2447	fud	1335	WHITE	1342	
291	EastFutuna-149_red-1	EastFutuna	149_red	m e a	east2447	fud	156	RED	60	
292	EastFutuna-149_red-2	EastFutuna	149_red	k u l a	east2447	fud	156	RED	304	
293	EastFutuna-149_red-3	EastFutuna	149_red	s o a t a	east2447	fud	156	RED	376	
294	EastFutuna-14_belly-1	EastFutuna	14_belly	t i n a ʔ e	east2447	fud	1251	BELLY	474	
295	EastFutuna-14_belly-2	EastFutuna	14_belly	m a n a v a	east2447	fud	1251	BELLY	1385	
296	EastFutuna-14_belly-3	EastFutuna	14_belly	k o n a	east2447	fud	1251	BELLY	1314	
297	EastFutuna-150_yellow-1	EastFutuna	150_yellow	f e l o	east2447	fud	1424	YELLOW	218	
298	EastFutuna-151_green-1	EastFutuna	151_green	m o t o	east2447	fud	1425	GREEN	123	
299	EastFutuna-152_small-1	EastFutuna	152_small	ʔ i k i + ʔ i k i	east2447	fud	1246	SMALL	1171	
300	EastFutuna-153_big-1	EastFutuna	153_big	l a s i	east2447	fud	1202	BIG	238	
302	EastFutuna-155_long-1	EastFutuna	155_long	l o a	east2447	fud	1203	LONG	245	
308	EastFutuna-15_bone-1	EastFutuna	15_bone	i v i	east2447	fud	1394	BONE	987	
315	EastFutuna-163_new-1	EastFutuna	163_new	f o ʔ o u	east2447	fud	1231	NEW	53	
316	EastFutuna-164_good-1	EastFutuna	164_good	m aː l i e	east2447	fud	1035	GOOD	398	
319	EastFutuna-167_night-1	EastFutuna	167_night	p oː + ʔ u l i	east2447	fud	1233	NIGHT	54	
333	EastFutuna-177_this-1	EastFutuna	177_this	l e i + n e i	east2447	fud	1214	THIS	75	
336	EastFutuna-17_liver-1	EastFutuna	17_liver	ʔ a t e	east2447	fud	1224	LIVER	45	
340	EastFutuna-182_i-1	EastFutuna	182_i	k u	east2447	fud	1209	I	1460	
341	EastFutuna-182_i-2	EastFutuna	182_i	k + a u	east2447	fud	1209	I	4	
342	EastFutuna-183_thou-1	EastFutuna	183_thou	k o e	east2447	fud	1215	THOU	76	
343	EastFutuna-183_thou-2	EastFutuna	183_thou	k eː	east2447	fud	1215	THOU	961	
345	EastFutuna-185_we-1	EastFutuna	185_we	t o u	east2447	fud	1212	WE	785	
346	EastFutuna-185_we-2	EastFutuna	185_we	m aː	east2447	fud	1212	WE	537	
351	EastFutuna-188_what-1	EastFutuna	188_what	aː	east2447	fud	1236	WHAT	104	
352	EastFutuna-189_who-1	EastFutuna	189_who	a i	east2447	fud	1235	WHO	106	
353	EastFutuna-18_breast-1	EastFutuna	18_breast	uː	east2447	fud	1402	BREAST	16	
355	EastFutuna-191_all-1	EastFutuna	191_all	k aː + t o a	east2447	fud	98	ALL	293	
356	EastFutuna-191_all-2	EastFutuna	191_all	f u l i	east2447	fud	98	ALL	336	
363	EastFutuna-197_one-1	EastFutuna	197_one	t a s i	east2447	fud	1493	ONE	335	
364	EastFutuna-198_two-1	EastFutuna	198_two	l u a	east2447	fud	1498	TWO	9	
367	EastFutuna-1_hand-1	EastFutuna	1_hand	l i m a	east2447	fud	1277	HAND	36	
378	EastFutuna-20_toknowbeknowledgeable-1	EastFutuna	20_toknowbeknowledgeable	p o t o	east2447	fud	1410	KNOW (SOMETHING)	380	
379	EastFutuna-20_toknowbeknowledgeable-2	EastFutuna	20_toknowbeknowledgeable	m a s a n i	east2447	fud	1410	KNOW (SOMETHING)	355	
380	EastFutuna-20_toknowbeknowledgeable-3	EastFutuna	20_toknowbeknowledgeable	m aː + t i n o	east2447	fud	1410	KNOW (SOMETHING)	429	
386	EastFutuna-23_blood-1	EastFutuna	23_blood	t o t o	east2447	fud	946	BLOOD	807	
387	EastFutuna-24_head-1	EastFutuna	24_head	ʔ u l u	east2447	fud	1256	HEAD	38	
388	EastFutuna-25_neck-1	EastFutuna	25_neck	ʔ u a	east2447	fud	1333	NECK	458	
389	EastFutuna-26_hair-1	EastFutuna	26_hair	l a u + u l u	east2447	fud	1040	HAIR	815	
390	EastFutuna-26_hair-2	EastFutuna	26_hair	f u l u	east2447	fud	1040	HAIR	695	
391	EastFutuna-27_nose-1	EastFutuna	27_nose	i s u	east2447	fud	1221	NOSE	55	
396	EastFutuna-30_mouth-1	EastFutuna	30_mouth	ŋ u t u	east2447	fud	674	MOUTH	524	
397	EastFutuna-31_tooth-1	EastFutuna	31_tooth	n i f o	east2447	fud	1380	TOOTH	101	
398	EastFutuna-32_tongue-1	EastFutuna	32_tongue	ʔ a l e l o	east2447	fud	1205	TONGUE	386	
405	EastFutuna-37_toeat-1	EastFutuna	37_toeat	o m a k i	east2447	fud	1336	EAT	1473	
406	EastFutuna-37_toeat-2	EastFutuna	37_toeat	k a i	east2447	fud	1336	EAT	87	
411	EastFutuna-40_todrink-1	EastFutuna	40_todrink	i n u	east2447	fud	1401	DRINK	86	
412	EastFutuna-41_tobite-1	EastFutuna	41_tobite	ʔ uː	east2447	fud	1403	BITE	1324	
415	EastFutuna-43_ear-1	EastFutuna	43_ear	t a l i g a	east2447	fud	1247	EAR	22	
416	EastFutuna-44_tohear-1	EastFutuna	44_tohear	l o ŋ o	east2447	fud	1408	HEAR	90	
417	EastFutuna-45_eye-1	EastFutuna	45_eye	m a t a	east2447	fud	1248	EYE	24	
418	EastFutuna-46_tosee-1	EastFutuna	46_tosee	t i o	east2447	fud	1409	SEE	918	
419	EastFutuna-46_tosee-2	EastFutuna	46_tosee	m a t a + m a t a	east2447	fud	1409	SEE	1336	
420	EastFutuna-46_tosee-3	EastFutuna	46_tosee	k i t e	east2447	fud	1409	SEE	95	
422	EastFutuna-48_tosleep-1	EastFutuna	48_tosleep	m o e	east2447	fud	1585	SLEEP	150	
426	EastFutuna-51_tosit-1	EastFutuna	51_tosit	n o f o	east2447	fud	1416	SIT	404	
427	EastFutuna-52_tostand-1	EastFutuna	52_tostand	t u ʔ u	east2447	fud	1442	STAND	533	
428	EastFutuna-53_personhumanbeing-1	EastFutuna	53_personhumanbeing	t a ŋ a t a	east2447	fud	683	PERSON	58	
436	EastFutuna-5_towalk-1	EastFutuna	5_towalk	a n o	east2447	fud	1443	WALK	535	
437	EastFutuna-5_towalk-2	EastFutuna	5_towalk	s a ʔ e l e	east2447	fud	1443	WALK	1109	
443	EastFutuna-63_name-1	EastFutuna	63_name	i ŋ o a	east2447	fud	1405	NAME	1096	
444	EastFutuna-64_tosay-1	EastFutuna	64_tosay	p a t i	east2447	fud	1458	SAY	771	
460	EastFutuna-74_tokill-1	EastFutuna	74_tokill	t a + m a t e	east2447	fud	1417	KILL	530	
472	EastFutuna-7_tocome-1	EastFutuna	7_tocome	ʔ a u	east2447	fud	1446	COME	881	
496	EastFutuna-96_dog-1	EastFutuna	96_dog	k u l iː	east2447	fud	2009	DOG	1213	
497	EastFutuna-97_bird-1	EastFutuna	97_bird	m a n u	east2447	fud	937	BIRD	14	
498	EastFutuna-98_egg-1	EastFutuna	98_egg	n i u + n i u	east2447	fud	744	EGG	765	
499	EastFutuna-98_egg-2	EastFutuna	98_egg	f u a	east2447	fud	744	EGG	950	
500	EastFutuna-99_feather-1	EastFutuna	99_feather	f u l u	east2447	fud	1201	FEATHER	28	
501	EastFutuna-9_toswim-1	EastFutuna	9_toswim	k a u	east2447	fud	1439	SWIM	969	
503	EastUvea-101_tofly-1	EastUvea	101_tofly	l e l e	wall1257	wls	1441	FLY (MOVE THROUGH AIR)	205	
505	EastUvea-103_meatflesh-1	EastUvea	103_meatflesh	m e ʔ a + k a i	wall1257	wls	2615	FLESH OR MEAT	768	
506	EastUvea-104_fatgrease-1	EastUvea	104_fatgrease	h u n i	wall1257	wls	323	FAT (ORGANIC SUBSTANCE)	242	
507	EastUvea-105_tail-1	EastUvea	105_tail	h i k u	wall1257	wls	1220	TAIL	309	
509	EastUvea-108_louse-1	EastUvea	108_louse	t u m a	wall1257	wls	1392	LOUSE	669	
510	EastUvea-108_louse-2	EastUvea	108_louse	k u t u	wall1257	wls	1392	LOUSE	46	
515	EastUvea-111_fish-1	EastUvea	111_fish	i k a	wall1257	wls	227	FISH	30	
520	EastUvea-114_leaf-1	EastUvea	114_leaf	l a u	wall1257	wls	628	LEAF	42	
521	EastUvea-115_root-1	EastUvea	115_root	a k a	wall1257	wls	670	ROOT	525	
526	EastUvea-119_earthsoil-1	EastUvea	119_earthsoil	k e l e	wall1257	wls	1228	EARTH (SOIL)	121	
528	EastUvea-120_stone-1	EastUvea	120_stone	m a k a	wall1257	wls	857	STONE	811	
529	EastUvea-121_sand-1	EastUvea	121_sand	o n e	wall1257	wls	671	SAND	62	
530	EastUvea-122_water-1	EastUvea	122_water	v a i	wall1257	wls	948	WATER	536	
540	EastUvea-129_moon-1	EastUvea	129_moon	m aː + h i n a	wall1257	wls	1313	MOON	761	
541	EastUvea-12_skin-1	EastUvea	12_skin	k i l i	wall1257	wls	763	SKIN	65	
542	EastUvea-130_star-1	EastUvea	130_star	f e t u ʔ u	wall1257	wls	1430	STAR	68	
543	EastUvea-131_cloud-1	EastUvea	131_cloud	ʔ a o	wall1257	wls	1489	CLOUD	239	
555	EastUvea-139_cold-1	EastUvea	139_cold	m a k a + l i l i	wall1257	wls	1287	COLD	17	
557	EastUvea-140_dry-1	EastUvea	140_dry	m a l o	wall1257	wls	1398	DRY	296	
