	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Anuta-100_wing-1	Anuta	100_wing	k a p a + k a u	anut1237	aud	1257	WING	109	
1	Anuta-101_tofly-1	Anuta	101_tofly	r e r e	anut1237	aud	1441	FLY (MOVE THROUGH AIR)	205	
4	Anuta-103_meatflesh-1	Anuta	103_meatflesh	k a n o + f i	anut1237	aud	2615	FLESH OR MEAT	344	
5	Anuta-104_fatgrease-1	Anuta	104_fatgrease	m o + m o n a	anut1237	aud	323	FAT (ORGANIC SUBSTANCE)	26	
6	Anuta-105_tail-1	Anuta	105_tail	t i k u	anut1237	aud	1220	TAIL	309	
7	Anuta-108_louse-1	Anuta	108_louse	k u t u	anut1237	aud	1392	LOUSE	46	
9	Anuta-10_dirty-1	Anuta	10_dirty	p a r a + p a r a	anut1237	aud	1230	DIRTY	1212	
11	Anuta-111_fish-1	Anuta	111_fish	i k a	anut1237	aud	227	FISH	30	
12	Anuta-112_rotten-1	Anuta	112_rotten	p o + p o	anut1237	aud	1728	ROTTEN	347	
13	Anuta-112_rotten-2	Anuta	112_rotten	p a r a	anut1237	aud	1728	ROTTEN	305	
16	Anuta-114_leaf-1	Anuta	114_leaf	r a u	anut1237	aud	628	LEAF	42	
17	Anuta-115_root-1	Anuta	115_root	t a p i t o	anut1237	aud	670	ROOT	1287	
18	Anuta-116_flower-1	Anuta	116_flower	p u a	anut1237	aud	239	FLOWER	31	
20	Anuta-118_grass-1	Anuta	118_grass	v a o	anut1237	aud	606	GRASS	1286	
21	Anuta-119_earthsoil-1	Anuta	119_earthsoil	k e r e + k e r e	anut1237	aud	1228	EARTH (SOIL)	121	
22	Anuta-11_dust-1	Anuta	11_dust	k o + k o p u	anut1237	aud	2	DUST	1293	
23	Anuta-120_stone-1	Anuta	120_stone	p a t u	anut1237	aud	857	STONE	70	
24	Anuta-121_sand-1	Anuta	121_sand	k e r e	anut1237	aud	671	SAND	684	
25	Anuta-122_water-1	Anuta	122_water	v a i	anut1237	aud	948	WATER	536	
26	Anuta-123_toflow-1	Anuta	123_toflow	t a + t a p e	anut1237	aud	2003	FLOW	145	
