	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Diaocao-1000_beforetemporal-1	Diaocao	1000_beforetemporal	a ²¹ + n ei ³³ + s ɿ ³³ + n ei ³³	dong1286	yik	1882.0	BEFORE	1233	
1	Diaocao-1002_already-1	Diaocao	1002_already	k u ⁴² + j a ³³	dong1286	yik	2576.0	ALREADY	1235	
2	Diaocao-1003_immediately-1	Diaocao	1003_immediately	j i ²⁴ + tʃ ɤ̪/ɤ ²¹	dong1286	yik	1963.0	IMMEDIATELY	1236	
3	Diaocao-1004_frequently-1	Diaocao	1004_frequently	tɕ i ³³ + tɕʰ a ²¹	dong1286	yik	1852.0	OFTEN	1237	
4	Diaocao-1005_slowly-1	Diaocao	1005_slowly	a ⁵⁵ + p ɛ ²³ + tɕ ɛ ²¹	dong1286	yik	2165.0	SLOWLY	643	
5	Diaocao-1006_quickly-1	Diaocao	1006_quickly	l a ²⁴ + p ɛ ³³	dong1286	yik	3365.0	QUICKLY	421	
6	Diaocao-1007_very-1	Diaocao	1007_very	x a ⁵⁵	dong1286	yik	1311.0	VERY	1238	
7	Diaocao-1008_most-1	Diaocao	1008_most	x a ⁵⁵	dong1286	yik	nan	nan	1239	
8	Diaocao-100_muntjakdeer-1	Diaocao	100_muntjakdeer	tsʰ ɿ ⁵⁵	dong1286	yik	3152.0	MUNTJACS	325	
9	Diaocao-1010_again-1	Diaocao	1010_again	ts ei ²⁴	dong1286	yik	204.0	AGAIN	392	
10	Diaocao-1011_reallycertainly-1	Diaocao	1011_reallycertainly	ŋ a ²⁴ + ts ɿ ⁵⁵	dong1286	yik	509.0	CERTAIN	377	
11	Diaocao-1012_notneg-1	Diaocao	1012_notneg	m a ²¹	dong1286	yik	1240.0	NOT	353	
12	Diaocao-1013_dont-1	Diaocao	1013_dont	tʰ a ²¹	dong1286	yik	nan	nan	584	
13	Diaocao-1014_eachother-1	Diaocao	1014_eachother	dz ɿ ²⁴ + dz ɿ ²⁴ + d a ³³	dong1286	yik	nan	nan	373	
14	Diaocao-101_sambardeer-1	Diaocao	101_sambardeer	m a ²¹ + l u ²⁴	dong1286	yik	nan	nan	35	
15	Diaocao-102_porcupine-1	Diaocao	102_porcupine	k ɤ̪/ɤ ⁵⁵	dong1286	yik	2510.0	PORCUPINE	764	
16	Diaocao-103_ratmouse-1	Diaocao	103_ratmouse	x a ³³ + ts ɿ ⁴² + p u ⁴²	dong1286	yik	2139.0	MUROID (MOUSE OR RAT)	34	
17	Diaocao-105_chicken-1	Diaocao	105_chicken	i ³³	dong1286	yik	1318.0	CHICKEN	304	
18	Diaocao-106_rooster-1	Diaocao	106_rooster	i ³³ + pʰ ə ⁵⁵	dong1286	yik	1511.0	ROOSTER	476	
19	Diaocao-107_hen-1	Diaocao	107_hen	i ³³ + m u ³³ + k u ³³	dong1286	yik	1514.0	HEN	847	
