	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	jugankhanty-102_heavy-1	jugankhanty	102_heavy	ɬ æː ɣ ə r t	khan1273	kca	1210	HEAVY	210	
1	jugankhanty-103_near-1	jugankhanty	103_near	w æː nː ə	khan1273	kca	1942	NEAR	213	
2	jugankhanty-104_salt-1	jugankhanty	104_salt	s a ɬː ə	khan1273	kca	1274	SALT	-217	
3	jugankhanty-105_short-1	jugankhanty	105_short	w æː n	khan1273	kca	1645	SHORT	218	
4	jugankhanty-106_snake-1	jugankhanty	106_snake	m e kː a r ɨ w ɔː j ə ɣ	khan1273	kca	730	SNAKE	224	
7	jugankhanty-108_wind-1	jugankhanty	108_wind	w ɔː t	khan1273	kca	960	WIND	233	
8	jugankhanty-109_worm-1	jugankhanty	109_worm	m e ɣ ɬ æ r	khan1273	kca	1219	WORM	235	
9	jugankhanty-10_bone-1	jugankhanty	10_bone	ɬ o w	khan1273	kca	1394	BONE	26	
10	jugankhanty-110_year-1	jugankhanty	110_year	ɔː ɬ	khan1273	kca	1226	YEAR	239	
14	jugankhanty-14_cloud-1	jugankhanty	14_cloud	p e ɬ ə ŋ	khan1273	kca	1489	CLOUD	31	
16	jugankhanty-16_come-1	jugankhanty	16_come	j œ	khan1273	kca	1446	COME	36	
17	jugankhanty-17_die-1	jugankhanty	17_die	s uː r aː ɬ	khan1273	kca	1494	DIE	38	
18	jugankhanty-18_dog-1	jugankhanty	18_dog	æː m p	khan1273	kca	2009	DOG	43	
19	jugankhanty-1_all-1	jugankhanty	1_all	e j n æː m	khan1273	kca	98	ALL	3	
20	jugankhanty-20_dry-1	jugankhanty	20_dry	s ɔː r ə m	khan1273	kca	1398	DRY	49	
21	jugankhanty-21_ear-1	jugankhanty	21_ear	p e ɬ	khan1273	kca	1247	EAR	50	
22	jugankhanty-22_earth-1	jugankhanty	22_earth	m e ɣ	khan1273	kca	1228	EARTH (SOIL)	51	
23	jugankhanty-23_eat-1	jugankhanty	23_eat	ɬ iː	khan1273	kca	1336	EAT	52	
24	jugankhanty-24_egg-1	jugankhanty	24_egg	m oː k	khan1273	kca	744	EGG	55	
25	jugankhanty-25_eye-1	jugankhanty	25_eye	s æ m	khan1273	kca	1248	EYE	57	
27	jugankhanty-28_fire-1	jugankhanty	28_fire	t e w ə t	khan1273	kca	221	FIRE	62	
28	jugankhanty-29_fish-1	jugankhanty	29_fish	k uː ɬ	khan1273	kca	227	FISH	64	
29	jugankhanty-2_ashes-1	jugankhanty	2_ashes	n æː j p æː r	khan1273	kca	646	ASH	9	
30	jugankhanty-30_flyv-1	jugankhanty	30_flyv	ɬ e ɣ ə ɬ	khan1273	kca	1441	FLY (MOVE THROUGH AIR)	65	
31	jugankhanty-31_foot-1	jugankhanty	31_foot	k œ r	khan1273	kca	1301	FOOT	67	
33	jugankhanty-33_give-1	jugankhanty	33_give	m e	khan1273	kca	1447	GIVE	70	
34	jugankhanty-34_good-1	jugankhanty	34_good	j e m	khan1273	kca	1035	GOOD	71	
35	jugankhanty-35_green-1	jugankhanty	35_green	w a s t ə	khan1273	kca	1425	GREEN	73	
36	jugankhanty-36_hair-1	jugankhanty	36_hair	oː p ə t	khan1273	kca	1040	HAIR	74	
37	jugankhanty-37_hand-1	jugankhanty	37_hand	k œ t	khan1273	kca	1277	HAND	75	
38	jugankhanty-38_head-1	jugankhanty	38_head	oː w	khan1273	kca	1256	HEAD	78	
39	jugankhanty-39_hear-1	jugankhanty	39_hear	k oː ɬ	khan1273	kca	1408	HEAR	79	
40	jugankhanty-3_bark-1	jugankhanty	3_bark	k æː r	khan1273	kca	1204	BARK	11	
41	jugankhanty-40_heart-1	jugankhanty	40_heart	s e m	khan1273	kca	1223	HEART	80	
43	jugankhanty-42_i-1	jugankhanty	42_i	m æː	khan1273	kca	1209	I	82	
44	jugankhanty-43_kill-1	jugankhanty	43_kill	w æ ɬ	khan1273	kca	1417	KILL	83	
46	jugankhanty-45_know-1	jugankhanty	45_know	uː	khan1273	kca	1410	KNOW (SOMETHING)	85	
47	jugankhanty-46_leaf-1	jugankhanty	46_leaf	ɭ ɨː p ə t	khan1273	kca	628	LEAF	88	
48	jugankhanty-47_lie-1	jugankhanty	47_lie	a ɬ	khan1273	kca	1411	LIE (REST)	89	
49	jugankhanty-48_liver-1	jugankhanty	48_liver	m uː w ɬ	khan1273	kca	1224	LIVER	91	
50	jugankhanty-49_long-1	jugankhanty	49_long	k o w	khan1273	kca	1203	LONG	93	
51	jugankhanty-4_belly-1	jugankhanty	4_belly	k o n	khan1273	kca	1251	BELLY	13	
52	jugankhanty-50_louse-1	jugankhanty	50_louse	t æ w t ə m	khan1273	kca	1392	LOUSE	94	
54	jugankhanty-52_many-1	jugankhanty	52_many	æː r	khan1273	kca	1198	MANY	98	
57	jugankhanty-55_mountain-1	jugankhanty	55_mountain	r æ p	khan1273	kca	639	MOUNTAIN	105	
58	jugankhanty-56_mouth-1	jugankhanty	56_mouth	ɬ uː ɬ	khan1273	kca	674	MOUTH	110	
59	jugankhanty-57_name-1	jugankhanty	57_name	n æ m	khan1273	kca	1405	NAME	112	
60	jugankhanty-58_neck-1	jugankhanty	58_neck	s æː p ə ɬ	khan1273	kca	1333	NECK	113	
61	jugankhanty-59_new-1	jugankhanty	59_new	j e ɬ ə p	khan1273	kca	1231	NEW	114	
62	jugankhanty-5_big-1	jugankhanty	5_big	e n t ɬ	khan1273	kca	1202	BIG	15	
63	jugankhanty-60_night-1	jugankhanty	60_night	æː t	khan1273	kca	1233	NIGHT	115	
64	jugankhanty-61_nose-1	jugankhanty	61_nose	ɲ o ɬ	khan1273	kca	1221	NOSE	117	
65	jugankhanty-62_not-1	jugankhanty	62_not	e n t ə	khan1273	kca	1240	NOT	120	
66	jugankhanty-63_one-1	jugankhanty	63_one	e j	khan1273	kca	1493	ONE	121	
68	jugankhanty-66_red-1	jugankhanty	66_red	w e r t ə	khan1273	kca	156	RED	132	
69	jugankhanty-67_road-1	jugankhanty	67_road	ɭ eː kʷ	khan1273	kca	667	ROAD	134	
70	jugankhanty-68_root-1	jugankhanty	68_root	ɬ o r t	khan1273	kca	670	ROOT	138	
72	jugankhanty-70_sand-1	jugankhanty	70_sand	s a ŋ k ɨː	khan1273	kca	671	SAND	144	
73	jugankhanty-71_say-1	jugankhanty	71_say	j æː s t ə	khan1273	kca	1458	SAY	149	
74	jugankhanty-72_see-1	jugankhanty	72_see	uː	khan1273	kca	1409	SEE	151	
75	jugankhanty-74_sit-1	jugankhanty	74_sit	ɔː m ə s	khan1273	kca	1416	SIT	158	
77	jugankhanty-76_sleep-1	jugankhanty	76_sleep	a ɬ	khan1273	kca	1585	SLEEP	161	
78	jugankhanty-77_small-1	jugankhanty	77_small	æː j	khan1273	kca	1246	SMALL	164	
79	jugankhanty-78_smoke-1	jugankhanty	78_smoke	n æː j ɬ ɨː p ə t	khan1273	kca	778	SMOKE (EXHAUST)	167	
80	jugankhanty-79_stand-1	jugankhanty	79_stand	ɬ j oː ɬ j	khan1273	kca	1442	STAND	171	
81	jugankhanty-7_bite-1	jugankhanty	7_bite	p o r	khan1273	kca	1403	BITE	19	
82	jugankhanty-80_star-1	jugankhanty	80_star	k oː s	khan1273	kca	1430	STAR	174	
83	jugankhanty-81_stone-1	jugankhanty	81_stone	k æ w	khan1273	kca	857	STONE	176	
84	jugankhanty-82_sun-1	jugankhanty	82_sun	k a t ɬ	khan1273	kca	1343	SUN	177	
85	jugankhanty-84_tail-1	jugankhanty	84_tail	ɬ e ɣ	khan1273	kca	1220	TAIL	181	
86	jugankhanty-86_this-1	jugankhanty	86_this	t eː m	khan1273	kca	1214	THIS	186	
87	jugankhanty-87_thou-1	jugankhanty	87_thou	n œ ŋ	khan1273	kca	1215	THOU	187	
88	jugankhanty-88_tongue-1	jugankhanty	88_tongue	ɲ æː ɬ ə m	khan1273	kca	1205	TONGUE	188	
89	jugankhanty-89_tooth-1	jugankhanty	89_tooth	p æ ŋʷ kʷ	khan1273	kca	1380	TOOTH	189	
90	jugankhanty-8_black-1	jugankhanty	8_black	p e ɣ t ə	khan1273	kca	163	BLACK	22	
91	jugankhanty-90_tree-1	jugankhanty	90_tree	j uː w	khan1273	kca	906	TREE	190	
92	jugankhanty-91_two-1	jugankhanty	91_two	k æː t	khan1273	kca	1498	TWO	191	
93	jugankhanty-92_walkgo-1	jugankhanty	92_walkgo	m e n	khan1273	kca	1443	WALK	192	
95	jugankhanty-94_water-1	jugankhanty	94_water	j e ŋ k	khan1273	kca	948	WATER	195	
96	jugankhanty-95_we-1	jugankhanty	95_we	m e ŋ	khan1273	kca	1212	WE	197	
97	jugankhanty-96_what-1	jugankhanty	96_what	m e w ə ɬ iː	khan1273	kca	1236	WHAT	198	
98	jugankhanty-97_white-1	jugankhanty	97_white	n eː w iː	khan1273	kca	1335	WHITE	200	
99	jugankhanty-98_who-1	jugankhanty	98_who	k o j aː ɣ ə	khan1273	kca	1235	WHO	203	
100	jugankhanty-99_woman-1	jugankhanty	99_woman	n eː	khan1273	kca	962	WOMAN	204	
101	jugankhanty-9_blood-1	jugankhanty	9_blood	w e r	khan1273	kca	946	BLOOD	24	
102	kazymkhanty-101_far-1	kazymkhanty	101_far	χ u w aː	khan1273	kca	1406	FAR	208	
103	kazymkhanty-102_heavy-1	kazymkhanty	102_heavy	ɬ aː w ə r t	khan1273	kca	1210	HEAVY	210	
104	kazymkhanty-103_near-1	kazymkhanty	103_near	w aː ɳː ə	khan1273	kca	1942	NEAR	213	
105	kazymkhanty-104_salt-1	kazymkhanty	104_salt	s o ɬ	khan1273	kca	1274	SALT	-217	
106	kazymkhanty-105_short-1	kazymkhanty	105_short	w aː ɳ	khan1273	kca	1645	SHORT	218	
107	kazymkhanty-106_snake-1	kazymkhanty	106_snake	j ɛː m ə ŋ w ɔː j	khan1273	kca	730	SNAKE	226	
110	kazymkhanty-108_wind-1	kazymkhanty	108_wind	w ɔː t	khan1273	kca	960	WIND	233	
111	kazymkhanty-109_worm-1	kazymkhanty	109_worm	m u w ɬ ɛː r	khan1273	kca	1219	WORM	235	
112	kazymkhanty-10_bone-1	kazymkhanty	10_bone	ɬ u w	khan1273	kca	1394	BONE	26	
113	kazymkhanty-110_year-1	kazymkhanty	110_year	ɔː ɬ	khan1273	kca	1226	YEAR	239	
117	kazymkhanty-14_cloud-1	kazymkhanty	14_cloud	p a ɬ ə ŋ	khan1273	kca	1489	CLOUD	31	
119	kazymkhanty-16_come-1	kazymkhanty	16_come	j i	khan1273	kca	1446	COME	36	
120	kazymkhanty-17_die-1	kazymkhanty	17_die	p ɔː s aː ɬ ə	khan1273	kca	1494	DIE	-42	
121	kazymkhanty-18_dog-1	kazymkhanty	18_dog	aː m p	khan1273	kca	2009	DOG	43	
122	kazymkhanty-19_drink-1	kazymkhanty	19_drink	j aː ɲ s j	khan1273	kca	1401	DRINK	46	
123	kazymkhanty-1_all-1	kazymkhanty	1_all	i s aː	khan1273	kca	98	ALL	6	
124	kazymkhanty-20_dry-1	kazymkhanty	20_dry	s ɔː r ə m	khan1273	kca	1398	DRY	49	
125	kazymkhanty-21_ear-1	kazymkhanty	21_ear	p a ɬ	khan1273	kca	1247	EAR	50	
126	kazymkhanty-22_earth-1	kazymkhanty	22_earth	m u w	khan1273	kca	1228	EARTH (SOIL)	51	
127	kazymkhanty-23_eat-1	kazymkhanty	23_eat	ɬ ɛː	khan1273	kca	1336	EAT	52	
128	kazymkhanty-24_egg-1	kazymkhanty	24_egg	p o ʃ ə χ	khan1273	kca	744	EGG	56	
129	kazymkhanty-25_eye-1	kazymkhanty	25_eye	s ɛː m	khan1273	kca	1248	EYE	57	
131	kazymkhanty-27_feather-1	kazymkhanty	27_feather	p u n	khan1273	kca	1201	FEATHER	60	
132	kazymkhanty-28_fire-1	kazymkhanty	28_fire	t u t	khan1273	kca	221	FIRE	62	
133	kazymkhanty-29_fish-1	kazymkhanty	29_fish	χ u ɬ	khan1273	kca	227	FISH	64	
134	kazymkhanty-2_ashes-1	kazymkhanty	2_ashes	r aː t χ i ʃ	khan1273	kca	646	ASH	7	
